nombre_modelo,spc,L,K,bs,epochs,learning_rate,loss,val_loss,prom_dif_emb_100,prom_sim_emb_100,prom_dif_pca_100,prom_sim_pca_100,tiempo
model_spc_20_L_100_K_5_bs_1.pt,20,100,5,1,50,0.0001,1000,2.1063093281232448e-05,7.5897846,2.608625832833103,5.1534967,1.9724737738219398,0
model_spc_20_L_100_K_5_bs_4.pt,20,100,5,4,50,0.0001,1000,2.1063093596834975e-05,7.5897846,2.608625832833103,5.1534967,1.9724737738219398,0
model_spc_20_L_100_K_5_bs_4.pt,20,100,5,4,50,0.0001,1.8018465522016476e-05,0.0005705246345963504,7.174777,2.8842604435909984,6.6608796,2.082530903635321,3644.275775909424
model_spc_20_L_100_K_5_bs_8.pt,20,100,5,8,50,0.0001,0.0003947453283273522,0.0047255502384620455,6.711803,4.802387033855383,5.8836927,2.008954470174194,1806.3632209300995
model_spc_20_L_50_K_5_bs_8.pt,20,50,5,8,50,0.0001,0.02848794122918669,0.11675239120825458,6.9150944,7.472263252855401,3.9604387,7.562323658038846,922.1375126838684
model_spc_20_L_75_K_5_bs_8.pt,20,75,5,8,50,0.0001,0.003489028987199954,0.023699446661128727,6.7854757,6.328032679472227,5.522489,4.103885170152192,1369.8126819133759
model_spc_20_L_100_K_4_bs_8.pt,20,100,4,8,50,0.0001,0.0006063988563585298,0.0066783382914141496,6.693425,4.946530869792466,5.087761,2.0306922101464178,1802.4458212852478
model_spc_20_L_75_K_5_bs_4.pt,20,75,5,4,50,0.0001,0.0003740577909597429,0.005459257419452348,7.0922165,5.515696960413261,6.740426,2.947689364516232,2669.3948056697845
model_spc_20_L_100_K_4_bs_4.pt,20,100,4,4,50,0.0001,2.6004189616567433e-05,0.0009829948312040516,6.9632273,4.00386809423301,6.1085396,1.9856877318917836,3592.4765589237213
New_model_spc_20_L_100_K_5_bs_8.pt,20,100,5,8,50,0.0001,2.731288235288896e-05,0.0004781893238359213,6.6971936,5.184889697840029,5.6477127,2.8549931539283344,4745.657171726227
New_model_spc_20_L_100_K_5_bs_1.pt,20,100,5,1,50,0.0001,9.640717504673217e-09,3.519746638788416e-05,7.149519,5.071303532676279,5.3644323,2.782441344242006,50288.80641293526
Quintos_New_model_spc_20_L_100_K_5_bs_8.pt,20,100,5,8,50,0.0001,0.054159738868428856,0.11312437551870647,5.402992,5.918109319683638,6.511654,1.9716337079145227,4684.116368532181
